Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_0,BusinessTravel_1,BusinessTravel_2,Department_0,Department_1,Department_2,EducationField_0,EducationField_1,EducationField_2,EducationField_3,EducationField_4,EducationField_5,Gender_0,Gender_1,JobRole_0,JobRole_1,JobRole_2,JobRole_3,JobRole_4,JobRole_5,JobRole_6,JobRole_7,JobRole_8,MaritalStatus_0,MaritalStatus_1,MaritalStatus_2,OverTime_0,OverTime_1,Expected_tenure
49.0,279.0,8.0,1.0,3.0,61.0,2.0,2.0,2.0,798.3999999999996,20575.4,1.0,23.0,4.0,4.0,1.0,10.0,6.46528,3.0,10.0,1.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.375
33.0,682.8,3.0,4.0,4.0,56.0,3.0,1.0,3.0,72.19999999999982,19613.0,1.0,11.0,3.0,3.0,0.56736,8.0,6.545999999999999,3.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0
27.0,17.17999999999995,2.0,1.0,1.0,40.0,3.0,1.0,2.0,598.9000000000001,13762.9,9.0,12.0,3.0,4.0,1.0,6.0,5.8690999999999995,3.0,2.0,2.0,2.0,0.0,0.57382,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.135751111405118
32.0,87.51999999999998,2.0,2.0,4.0,79.0,3.0,1.0,4.0,774.3000000000002,9570.3,0.0,13.0,3.0,3.0,0.45874,8.0,4.293699999999999,2.0,7.0,3.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0
59.0,45.680000000000064,3.0,3.0,3.0,81.0,4.0,1.0,1.0,113.36000000000013,6768.2,4.0,20.0,4.0,1.0,3.0,12.0,6.1958,2.0,1.0,0.0,0.0,0.0,0.63916,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
30.0,382.55999999999995,24.0,1.0,4.0,67.0,3.0,1.0,3.0,254.4000000000001,10896.4,1.0,22.0,4.0,2.0,1.0,1.0,4.4386,3.0,1.0,0.0,0.0,0.0,0.48772,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.12
38.0,216.0,23.0,3.0,4.0,44.0,2.0,3.0,3.0,6973.1,6234.1,0.0,21.0,4.0,2.0,0.408464,10.0,4.5529,3.0,9.0,1.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0
36.0,576.74,27.0,3.0,3.0,94.0,3.0,2.0,3.0,1625.6999999999998,12965.7,6.0,13.0,3.0,2.0,2.0,17.0,6.6113,2.0,7.0,7.0,7.0,0.0,0.72226,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.08
35.0,214.72000000000003,16.0,3.0,1.0,84.0,4.0,1.0,2.0,48.88000000000011,13507.6,0.0,13.0,3.0,3.0,1.0,6.0,6.78284,3.0,5.0,0.0,3.0,0.0,0.59428,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
29.0,153.0,15.0,2.0,4.0,49.0,2.0,2.0,3.0,4193.0,12682.0,0.0,12.0,3.0,4.0,0.0,10.0,3.0,3.0,9.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0
