0,"[-0.7006100517129928, -30347.625, 43316.0, 0.3421218928101001, -0.5687841496738556, -21680.959720000003, 38118.08, 0.6011259299271051]"
1,"[-0.7749294980259447, -27479.0, 35460.0, 0.42785099760076867, -0.5865443857407598, -20382.88664, 34750.8, 0.639918955540863]"
2,"[-0.7217547052695478, -20707.864248888596, 28691.0, 0.6302069717552404, -0.5118517400709671, -14391.827508888595, 28117.18, 0.8189622728298573]"
3,"[-0.6971269128482365, -15990.0, 22937.0, 0.7712007505102605, -0.47604886755024634, -10482.367559999999, 22019.519999999997, 0.9357968195667755]"
4,"[-0.438575630515051, -14016.0, 31958.0, 0.8301939102494316, -0.22289350052556225, -6980.76588, 31318.84, 1.040442486867277]"
5,"[-0.7158976461904372, -17457.88, 24386.0, 0.7273330304910434, -0.495580881448372, -11601.825959999998, 23410.559999999998, 0.9023417090234337]"
6,"[-0.726428767284265, -18545.0, 25529.0, 0.6948443558123971, -0.5370538441676174, -13436.238636000002, 25018.42, 0.8475201284647566]"
7,"[-0.641290394040927, -23158.92, 36113.0, 0.556956959873311, -0.4297453000417623, -15209.004180000002, 35390.740000000005, 0.7945408777467775]"
8,"[-0.6655785151780306, -19777.0, 29714.0, 0.6580259298758931, -0.48487345331044845, -13831.2286, 28525.440000000002, 0.8357158194264479]"
9,"[-0.8511583782704214, -17047.0, 20028.0, 0.7396122146215554, -0.8511583782704214, -17047.0, 20028.0, 0.7396122146215554]"
10,"[-0.758267293203603, -18767.873774082378, 24751.0, 0.688183753909604, -0.5491094828608194, -13319.188634082378, 24255.98, 0.8510181778368927]"
11,"[-0.6499691396037959, -12846.640044269025, 19765.0, 0.8651403330766998, -0.414711850642336, -7704.972944269024, 18579.1, 1.018799496478899]"
12,"[-0.7824018647511246, -21566.125, 27564.0, 0.6045577754086467, -0.5648561091157549, -14946.906040000002, 26461.440000000002, 0.802373703197821]"
13,"[-0.5562998084776203, -18738.95904856864, 33685.0, 0.6890478729678848, -0.39189563383085446, -12672.96424856864, 32337.600000000002, 0.8703306491651397]"
14,"[-0.49054828500555986, -11470.0, 23382.0, 0.9062813391734081, -0.2608419635474582, -5855.04652, 22446.719999999998, 1.0740847067385828]"
15,"[-0.928135956990071, -38672.64091990529, 41667.0, 0.0933280761970732, -0.7429387316225212, -30336.907567905284, 40833.66, 0.34244218418981504]"
16,"[-0.7433955769727218, -8639.0, 11621.0, 0.9908860176037999, -0.523251576972722, -6080.7065760000005, 11620.999999999998, 1.0673408365610961]"
17,"[-0.567156706034096, -12996.963075477342, 22916.0, 0.8606479163631493, -0.36149656878551656, -7952.693155477342, 21999.36, 1.011396356666116]"
18,"[-0.894128255450061, -33714.0, 37706.0, 0.24151748646919222, -0.7082369953572051, -26170.688464000003, 36951.880000000005, 0.46695000035246476]"
19,"[-0.7803293190603627, -20993.98, 26904.0, 0.6216563779309203, -0.6533523663881252, -17226.236223999997, 26365.92, 0.7342557246552547]"
20,"[-0.7950704405410243, -31096.0, 39111.0, 0.31975664158426315, -0.5866637148377798, -22486.10446, 38328.78, 0.5770641101398847]"
21,"[-0.804169351901146, -28700.0, 35689.0, 0.39136130761012633, -0.6163646447970876, -21557.489051999997, 34975.22, 0.6048158614572098]"
22,"[-0.5864613410330446, -12796.0, 21819.0, 0.8666537151540865, -0.3942136132990251, -8429.319892, 21382.62, 0.9971523256612318]"
23,"[-0.9559068219633944, -42513.0, 44474.0, -0.02144138513413431, -0.9559068219633944, -42513.0, 44474.0, -0.02144138513413431]"
24,"[-0.775248281130634, -10148.0, 13090.0, 0.94578942284878, -0.6152282811306342, -8053.3382, 13089.999999999998, 1.0083885708563483]"
25,"[-0.8443126852863161, -27056.0, 32045.0, 0.44049238897344817, -0.6568050927025175, -19363.53366, 29481.4, 0.6703824069996979]"
26,"[-0.7891931081542136, -18505.0, 23448.0, 0.696039759251894, -0.6215725593410343, -14283.140704000001, 22979.04, 0.8222103873396511]"
27,"[-0.6665630240882321, -25889.974418611022, 38841.0, 0.4753391637367915, -0.4963663511104409, -18893.778134611024, 38064.18, 0.6844210912690141]"
28,"[-0.813159088253101, -12677.963344954098, 15591.0, 0.8701812507398009, -0.613019088253101, -9557.580604954097, 15590.999999999998, 0.9634341572383684]"
29,"[-0.6866195793710295, -17401.0, 25343.0, 0.729032894182008, -0.4759995707867648, -11821.99198, 24836.14, 0.8957620285842252]"
30,"[-0.35095633345362687, -9725.0, 27710.0, 0.9584308142214596, -0.12890271331817074, -3071.8289999999997, 23830.6, 1.1572614016454823]"
31,"[-0.6280876905041032, -13393.97, 21325.0, 0.8487833302861877, -0.4366894801062277, -9126.1551, 20898.5, 0.9763273455510887]"
32,"[-0.6799320620480522, -23318.95, 34296.0, 0.5521744495627436, -0.5317787894128215, -17143.61224, 32238.239999999998, 0.736724949521718]"
33,"[-0.7178298954506923, -12702.0, 17695.0, 0.8694629132369042, -0.4976144744278045, -8453.0766, 16987.2, 0.9964423543998737]"
34,"[-0.6901679029893839, -15537.75, 22513.0, 0.7847162806480721, -0.47964071733610597, -10582.18844, 22062.74, 0.9328136639846355]"
35,"[-0.8891719024169356, -15709.0, 17667.0, 0.779598459672726, -0.8891719024169356, -15709.0, 17667.0, 0.779598459672726]"
